"","species_name","Fire_Type"
"271","Bulbostylis warei","Unmeasured"
"272","Calamagrostis bolanderi","Unmeasured"
"273","Calamagrostis breweri","Unmeasured"
"274","Calamagrostis cainii","Unmeasured"
"275","Calamagrostis canadensis","Unmeasured"
"276","Calamagrostis canadensis var. canadensis","Unmeasured"
"277","Calamagrostis canadensis var. langsdorffii","Unmeasured"
"278","Calamagrostis canadensis var. macouniana","Unmeasured"
"279","Calamagrostis coarctata","Unmeasured"
"280","Calamagrostis deschampsioides","Unmeasured"
"281","Calamagrostis foliosa","Unmeasured"
"282","Calamagrostis howellii","Unmeasured"
"283","Calamagrostis koelerioides","Unmeasured"
"284","Calamagrostis lapponica","Unmeasured"
"285","Calamagrostis montanensis","Unmeasured"
"286","Calamagrostis muiriana","Unmeasured"
"287","Calamagrostis nutkaensis","Unmeasured"
"288","Calamagrostis ophitidis","Unmeasured"
"289","Calamagrostis perplexa","Unmeasured"
"290","Calamagrostis pickeringii","Unmeasured"
"291","Calamagrostis porteri","Unmeasured"
"292","Calamagrostis porteri ssp. insperata","Unmeasured"
"293","Calamagrostis porteri ssp. porteri","Unmeasured"
"294","Calamagrostis purpurascens","Unmeasured"
"295","Calamagrostis purpurascens var. purpurascens","Unmeasured"
"296","Calamagrostis rubescens","Unmeasured"
"297","Calamagrostis scopulorum","Unmeasured"
"298","Calamagrostis sesquiflora","Unmeasured"
"299","Calamagrostis stricta","Unmeasured"
"300","Calamagrostis stricta ssp. inexpansa","Unmeasured"
"301","Calamagrostis stricta ssp. stricta","Unmeasured"
"302","Calamagrostis stricta ssp. stricta var. stricta","Unmeasured"
"303","Calamagrostis tacomensis","Unmeasured"
"304","Calamagrostis tweedyi","Unmeasured"
"305","Calammophila don-hensonii","Unmeasured"
"306","Calamovilfa arcuata","Unmeasured"
"307","Calamovilfa brevipilis","Unmeasured"
"308","Calamovilfa curtissii","Unmeasured"
"309","Calamovilfa gigantea","Unmeasured"
"310","Calamovilfa longifolia","Unmeasured"
"311","Calamovilfa longifolia var. longifolia","Unmeasured"
"312","Calamovilfa longifolia var. magna","Unmeasured"
"313","Calliscirpus","Unmeasured"
"314","Calliscirpus brachythrix","Unmeasured"
"315","Calliscirpus criniger","Unmeasured"
"316","Carex abitibiana","Unmeasured"
"317","Carex aboriginum","Unmeasured"
"318","Carex abrupta","Unmeasured"
"319","Carex abscondita","Unmeasured"
"320","Carex acidicola","Unmeasured"
"321","Carex adelostoma","Unmeasured"
"322","Carex adusta","Unmeasured"
"323","Carex aestivaliformis","Unmeasured"
"324","Carex aestivalis","Unmeasured"
"325","Carex aggregata","Unmeasured"
"326","Carex agrostoides","Unmeasured"
"327","Carex alata","Unmeasured"
"328","Carex albicans","Unmeasured"
"329","Carex albicans var. albicans","Unmeasured"
"330","Carex albicans var. australis","Unmeasured"
"331","Carex albicans var. emmonsii","Unmeasured"
"332","Carex albolutescens","Unmeasured"
"333","Carex albonigra","Unmeasured"
"334","Carex albursina","Unmeasured"
"335","Carex alma","Unmeasured"
"336","Carex alopecoidea","Unmeasured"
"337","Carex amphibola","Unmeasured"
"338","Carex amplectens","Unmeasured"
"339","Carex amplifolia","Unmeasured"
"340","Carex angustata","Unmeasured"
"341","Carex annectens","Unmeasured"
"342","Carex anthoxanthea","Unmeasured"
"343","Carex aperta","Unmeasured"
"344","Carex appalachica","Unmeasured"
"345","Carex aquatilis","Unmeasured"
"346","Carex aquatilis var. aquatilis","Unmeasured"
"347","Carex aquatilis var. dives","Unmeasured"
"348","Carex aquatilis var. stans","Unmeasured"
"349","Carex arapahoensis","Unmeasured"
"350","Carex arcta","Unmeasured"
"351","Carex arctata","Unmeasured"
"352","Carex arctiformis","Unmeasured"
"353","Carex arctophila","Unmeasured"
"354","Carex arenaria","Unmeasured"
"355","Carex argyrantha","Unmeasured"
"356","Carex arkansana","Unmeasured"
"357","Carex assiniboinensis","Unmeasured"
"358","Carex atherodes","Unmeasured"
"359","Carex athrostachya","Unmeasured"
"360","Carex atlantica","Unmeasured"
"361","Carex atlantica ssp. atlantica","Unmeasured"
"362","Carex atlantica ssp. capillacea","Unmeasured"
"363","Carex atratiformis","Unmeasured"
"364","Carex atrofusca","Unmeasured"
"365","Carex atrofusca var. atrofusca","Unmeasured"
"366","Carex atrosquama","Unmeasured"
"367","Carex aurea","Unmeasured"
"368","Carex aureolensis","Unmeasured"
"369","Carex austrina","Unmeasured"
"370","Carex austrocaroliniana","Unmeasured"
"371","Carex austrodeflexa","Unmeasured"
"372","Carex backii","Unmeasured"
"373","Carex baileyi","Unmeasured"
"374","Carex baltzellii","Unmeasured"
"375","Carex barbarae","Unmeasured"
"376","Carex barrattii","Unmeasured"
"377","Carex basiantha","Unmeasured"
"378","Carex bebbii","Unmeasured"
"379","Carex bella","Unmeasured"
"380","Carex bicknellii","Unmeasured"
"381","Carex bicolor","Unmeasured"
"382","Carex bigelowii","Unmeasured"
"383","Carex billingsii","Unmeasured"
"384","Carex biltmoreana","Unmeasured"
"385","Carex blanda","Unmeasured"
"386","Carex bolanderi","Unmeasured"
"387","Carex bonanzensis","Unmeasured"
"388","Carex brainerdii","Unmeasured"
"389","Carex brevicaulis","Unmeasured"
"390","Carex brevior","Unmeasured"
"391","Carex breweri","Unmeasured"
"392","Carex bromoides","Unmeasured"
"393","Carex bromoides ssp. bromoides","Unmeasured"
"394","Carex bromoides ssp. montana","Unmeasured"
"395","Carex brunnescens","Unmeasured"
"396","Carex brunnescens ssp. brunnescens","Unmeasured"
"397","Carex brunnescens ssp. pacifica","Unmeasured"
"398","Carex brunnescens ssp. sphaerostachya","Unmeasured"
"399","Carex brysonii","Unmeasured"
"400","Carex bulbostylis","Unmeasured"
"401","Carex bullata","Unmeasured"
"402","Carex bushii","Unmeasured"
"403","Carex buxbaumii","Unmeasured"
"404","Carex caesariensis","Unmeasured"
"405","Carex calcifugens","Unmeasured"
"406","Carex californica","Unmeasured"
"407","Carex canescens","Unmeasured"
"408","Carex canescens ssp. canescens","Unmeasured"
"409","Carex canescens ssp. disjuncta","Unmeasured"
"410","Carex capillaris","Unmeasured"
"411","Carex capitata","Unmeasured"
"412","Carex capitata ssp. arctogena","Unmeasured"
"413","Carex capitata ssp. capitata","Unmeasured"
"414","Carex careyana","Unmeasured"
"415","Carex caroliniana","Unmeasured"
"416","Carex castanea","Unmeasured"
"417","Carex cayouettei","Unmeasured"
"418","Carex cephaloidea","Unmeasured"
"419","Carex cephalophora","Unmeasured"
"420","Carex chapmanii","Unmeasured"
"421","Carex cherokeensis","Unmeasured"
"422","Carex chihuahuensis","Unmeasured"
"423","Carex chordorrhiza","Unmeasured"
"424","Carex circinata","Unmeasured"
"425","Carex clausa","Unmeasured"
"426","Carex collinsii","Unmeasured"
"427","Carex communis","Unmeasured"
"428","Carex communis var. amplisquama","Unmeasured"
"429","Carex communis var. communis","Unmeasured"
"430","Carex comosa","Unmeasured"
"431","Carex complanata","Unmeasured"
"432","Carex concinna","Unmeasured"
"433","Carex concinnoides","Unmeasured"
"434","Carex congdonii","Unmeasured"
"435","Carex conjuncta","Unmeasured"
"436","Carex connectens","Unmeasured"
"437","Carex conoidea","Unmeasured"
"438","Carex constanceana","Unmeasured"
"439","Carex cordillerana","Unmeasured"
"440","Carex corrugata","Unmeasured"
"441","Carex crawei","Unmeasured"
"442","Carex crawfordii","Unmeasured"
"443","Carex crebriflora","Unmeasured"
"444","Carex crinita","Unmeasured"
"445","Carex crinita var. brevicrinis","Unmeasured"
"446","Carex crinita var. crinita","Unmeasured"
"447","Carex crinita var. porteri","Unmeasured"
"448","Carex crinitoides","Unmeasured"
"449","Carex cristatella","Unmeasured"
"450","Carex crus-corvi","Unmeasured"
"451","Carex cryptolepis","Unmeasured"
"452","Carex cumberlandensis","Unmeasured"
"453","Carex cumulata","Unmeasured"
"454","Carex curatorum","Unmeasured"
"455","Carex cusickii","Unmeasured"
"456","Carex cyrtostachya","Unmeasured"
"457","Carex dasycarpa","Unmeasured"
"458","Carex davisii","Unmeasured"
"459","Carex davyi","Unmeasured"
"460","Carex deamii","Unmeasured"
"461","Carex debilis","Unmeasured"
"462","Carex debilis var. debilis","Unmeasured"
"463","Carex debilis var. intercursa","Unmeasured"
"464","Carex debilis var. interjecta","Unmeasured"
"465","Carex debilis var. pubera","Unmeasured"
"466","Carex debilis var. rudgei","Unmeasured"
"467","Carex debilis var. strictior","Unmeasured"
"468","Carex decomposita","Unmeasured"
"469","Carex deflexa","Unmeasured"
"470","Carex densa","Unmeasured"
"471","Carex deweyana","Unmeasured"
"472","Carex deweyana var. collectanea","Unmeasured"
"473","Carex deweyana var. deweyana","Unmeasured"
"474","Carex diandra","Unmeasured"
"475","Carex digitalis","Unmeasured"
"476","Carex digitalis var. digitalis","Unmeasured"
"477","Carex digitalis var. floridana","Unmeasured"
"478","Carex digitalis var. macropoda","Unmeasured"
"479","Carex disperma","Unmeasured"
"480","Carex douglasii","Unmeasured"
"481","Carex dudleyi","Unmeasured"
"482","Carex dumanii","Unmeasured"
"483","Carex duriuscula","Unmeasured"
"484","Carex ebenea","Unmeasured"
"485","Carex eburnea","Unmeasured"
"486","Carex echinata","Unmeasured"
"487","Carex echinata ssp. echinata","Unmeasured"
"488","Carex echinata ssp. phyllomanica","Unmeasured"
"489","Carex edwardsiana","Unmeasured"
"490","Carex egglestonii","Unmeasured"
"491","Carex eleusinoides","Unmeasured"
"492","Carex elliottii","Unmeasured"
"493","Carex elynoides","Unmeasured"
"494","Carex emoryi","Unmeasured"
